Duration,Pulse,Maxpulse,Calories,Date
60,110,130,409.1,2024-01-01
60,117,145,479,2024-01-02
60,103,135,340,2024-01-03
45,109,175,282.4,2024-01-04
45,109,175,282.4,2024-01-05
60,102,127,300,2024-01-06
60,110,136,374,2024-01-07
45,104,134,253.3,2024-01-08
30,109,133,195.1,2024-01-09
60,98,124,269,2024-01-10
60,103,147,329.3,
60,100,120,250.7,2024-01-12
60,106,128,345.3,2024-01-13
60,,132,379.3,2024-01-14
60,98,123,275,2024-01-15
60,98,120,215.2,2024-01-16
60,100,120,300,2024-01-17
45,90,112,,2024-01-18
60,103,123,323,2024-01-19
45,97,125,243,2024-01-20
60,108,131,364.2,2024-01-21
45,100,119,282,2024-01-22
60,130,101,300,2024-01-23
45,105,132,246,2024-01-24
60,102,126,334.5,2024-01-25
60,100,120,250,2024-01-26
60,92,118,241,2024-01-27
60,103,132,,2024-01-28
60,100,132,280,2024-01-29
60,102,129,380.3,2024-01-30
60,92,115,243,2024-01-31
45,90,112,180.1,2024-02-01
60,101,124,299,2024-02-02
60,93,113,223,2024-02-03
60,107,136,361,2024-02-04
60,114,140,415,2024-02-05
60,102,127,300,2024-02-06
60,100,120,300,2024-02-07
60,100,120,300,2024-02-08
45,104,129,266,2024-02-09
45,90,112,180.1,2024-02-10
60,98,126,286,2024-02-11
60,100,122,329.4,2024-02-12
60,111,138,400,2024-02-13
60,111,131,397,2024-02-14
60,99,119,273,2024-02-15
60,109,153,387.6,2024-02-16
45,111,136,300,2024-02-17
45,108,129,298,2024-02-18
60,111,139,397.6,2024-02-19
60,107,136,380.2,2024-02-20
80,123,146,643.1,2024-02-21
60,106,130,263,2024-02-22
60,118,151,486,2024-02-23
30,136,175,238,2024-02-24
60,121,146,450.7,2024-02-25
60,118,121,413,2024-02-26
45,115,144,305,2024-02-27
20,153,172,226.4,2024-02-28
45,123,152,321,2024-02-29
210,108,160,1376,2024-03-01
160,110,137,1034.4,2024-03-02
160,109,135,853,2024-03-03
45,118,141,341,2024-03-04
20,110,130,131.4,2024-03-05
180,90,130,800.4,2024-03-06
150,105,135,873.4,2024-03-07
150,107,130,816,2024-03-08
20,106,136,110.4,2024-03-09
300,108,143,1500.2,2024-03-10
150,97,129,1115,2024-03-11
60,109,153,387.6,2024-03-12
90,100,127,700,2024-03-13
150,97,127,953.2,2024-03-14
45,114,146,304,2024-03-15
90,98,125,563.2,2024-03-16
45,105,134,251,2024-03-17
45,110,141,300,2024-03-18
120,100,130,500.4,2024-03-19
270,100,131,1729,2024-03-20
30,159,182,319.2,2024-03-21
45,149,169,344,2024-03-22
30,103,139,151.1,2024-03-23
120,100,130,500,2024-03-24
45,100,120,225.3,2024-03-25
30,151,170,300,2024-03-26
45,102,136,234,2024-03-27
120,100,157,1000.1,2024-03-28
45,129,103,242,2024-03-29
20,83,107,50.3,2024-03-30
180,101,127,600.1,2024-03-31
45,107,137,,2024-04-01
30,90,107,105.3,2024-04-02
15,80,100,50.5,2024-04-03
20,150,171,127.4,2024-04-04
20,151,168,229.4,2024-04-05
30,95,128,128.2,2024-04-06
25,152,168,244.2,2024-04-07
30,109,131,188.2,2024-04-08
90,93,124,604.1,2024-04-09
20,95,112,77.7,2024-04-10
90,90,110,500,2024-04-11
90,90,100,500,2024-04-12
90,90,100,500.4,2024-04-13
30,92,108,92.7,2024-04-14
30,93,128,124,2024-04-15
180,90,120,800.3,2024-04-16
30,90,120,86.2,2024-04-17
90,90,120,500.3,2024-04-18
210,137,184,1860.4,2024-04-19
60,102,124,325.2,2024-04-20
45,107,124,275,2024-04-21
15,124,139,124.2,2024-04-22
45,100,120,225.3,2024-04-23
60,108,131,367.6,2024-04-24
60,108,151,351.7,2024-04-25
60,116,141,443,2024-04-26
60,97,122,277.4,2024-04-27
60,105,125,,2024-04-28
60,103,124,332.7,2024-04-29
30,112,137,193.9,2024-04-30
45,100,120,100.7,2024-05-01
60,119,169,336.7,2024-05-02
60,107,127,344.9,2024-05-03
60,111,151,368.5,2024-05-04
60,98,122,271,2024-05-05
60,97,124,275.3,2024-05-06
60,109,127,382,2024-05-07
90,99,125,466.4,2024-05-08
60,114,151,384,2024-05-09
60,104,134,342.5,2024-05-10
60,107,138,357.5,2024-05-11
60,103,133,335,2024-05-12
60,106,132,327.5,2024-05-13
60,103,136,339,2024-05-14
20,136,156,189,2024-05-15
45,117,143,317.7,2024-05-16
45,115,137,318,2024-05-17
45,113,138,308,2024-05-18
20,141,162,222.4,2024-05-19
60,108,135,390,###############################################################################################################################################################################################################################################################
60,97,127,,2024-05-21
45,100,120,250.4,2024-05-22
45,122,149,335.4,2024-05-23
60,136,170,470.2,2024-05-24
45,106,126,270.8,2024-05-25
60,107,136,400,2024-05-26
60,112,146,361.9,2024-05-27
30,103,127,185,2024-05-28
60,110,150,409.4,2024-05-29
60,106,134,343,2024-05-30
60,109,129,353.2,2024-05-30
60,109,138,374,2024-06-01
30,150,167,275.8,2024-06-02
60,105,128,328,2024-06-03
60,111,151,368.5,2024-06-04
60,97,131,270.4,2024-06-05
60,100,120,270.4,2024-06-06
60,114,150,382.8,2024-06-07
30,80,120,240.9,2024-06-08
30,85,120,250.4,2024-06-09
45,90,130,260.4,2024-06-10
45,95,130,270,2024-06-11
45,100,140,280.9,2024-06-12
60,105,140,290.8,2024-06-13
60,110,145,300,2024-06-14
60,115,145,310.2,2024-06-15
75,120,150,320.4,2024-06-16
75,125,150,330.4,2024-06-17
